cust_id,cust_name,current,daysa,daysb,daysc,daysd,total_balance,term
MARRAL,"MARTIN MARIETTA MATERIALS, INC.",0,-1204.38,0,0,0,-1204.38,Net 30
OLEARD99,OLEUM ENERGY SOLUTIONS%,-1044,0,0,0,0,-1044,Net 30
NATCHA,NATIONAL GYPSUM COMPANY AP 138%,0,0,0,-364.11,-364.11,-728.22,Net 45
ENCDEN01,"ENCON BRIDGE COMPANY, LLC%",0,0,0,0,-218.58,-218.58,Net 30
MINFAR,MINING EQUIPMENT LTD.,-61,-111.05,0,0,0,-172.05,COD
ALPDUR,ALPINE MOBILE CRETE,0.01,0,0,0,0,0.01,COD
