cust_id,cust_name,current,daysa,daysb,daysc,daysd,total_balance,term
ACCSAN,ACCENTURE/BSS EDM,2100,2100,2100,0,0,6300,Net 30
SOUTEM,SOUTHWEST ASPHALT PAVING,3200,3200,0,0,0,6400,Net 30
COOSEA,COOPER NATURAL RESOURCES%,6483.57,0,0,0,0,6483.57,Net 15
SOULOR99,SOUTHWEST CONCRETE & PAVING,0,6635.1,0,0,0,6635.1,Net 30
CANDUR,C AND J GRAVEL,6644.93,0,0,0,0,6644.93,Net 30
ARDIND,"ARDAGH GLASS, INC.*%",3641.58,3766.74,-727.93,0,0,6680.39,Net 15
MOUOMA,MOUNTAIN VIEW CORRIDOR CONSTRUCTORS,0,0,6768,0,0,6768,Net 30
MICGAL,MICHELE`S READY MIX %,6914.23,0,0,0,0,6914.23,Net 30
BNSPHO,BNSF LOGISTICS,4800,2400,0,0,0,7200,Net 30
DRISTR,DRILLCHEM%,7932.9,0,0,0,0,7932.9,Net 30
METDEN01,METRO MIX LLC,11169.71,412.32,659.79,0,-4292.79,7949.03,Net 30
MURMIN,MURPHY & MURPHY MINERAL WELLS,7442.83,917.63,0,0,-0.9,8359.56,Net 30
CHESCO,"LHOIST NORTH AMERICA OF ARIZONA, INC.",8500,0,0,0,0,8500,Net 30
BASDEN,BASALITE - DENVER%,8574.34,0,0,0,0,8574.34,Net 30
TTRGUN01,T & T REDI MIX %,8674.02,0,0,0,0,8674.02,Net 15
CORCAR,"CORONADO STONE PRODUCTS OF TEXAS, INC%",8841.58,0,0,0,0,8841.58,Net 20
BASAZT,BASIN DISPOSAL INC.,2271.52,6578.9,0,0,0,8850.42,Net 30
SOUTUS,"SOUTHWEST ENERGY, LLC%",7125.73,2252.38,0,0,0,9378.11,Net 30
DYNSAL,"DYNO NOBEL, INC.%",7078.56,2667.13,0,0,0,9745.69,Net 30
ROCPUE99,ROCLA  %,5615,4205,0,0,0,9820,Net 30
GCCELP99,GCC RIO GRANDE **%,1210.23,8615.61,0,0,0,9825.84,Net 30
CHALOU01,CHARAH LLC,10876.28,0,0,0,0,10876.28,Net 30
OLDLIT,OLDCASTLE PRECAST INC *%,4085.78,3507.76,4169.57,0,0,11763.11,Net 30
ACGMOO99,ACG MATERIALS,6000,6000,0,0,0,12000,Net 30
BUCENG,BUCKLEY POWDER INC **%,12790.22,0,0,0,0,12790.22,Net 30
NAVDEN,NAVAJO EXPRESS %*,1200,12000,0,0,0,13200,Net 30
CHRROC,CHRYSO INC%,12316.49,888.42,0,0,0,13204.91,Net 30
SIMCHE,SIMON CONTRACTORS %*,12248.72,1014.47,0,0,0,13263.19,Net 30
SALSCO99,SALT RIVER MATERIALS %,14387.75,0,0,0,0,14387.75,Net 30
KINELC99,KING CONCRETE AND EQUIPMENT,5500,5500,5500,0,0,16500,Net 30
PETLAR99,PETE LIEN %,16694.68,0,24.68,0,0,16719.36,Net 30
CANDUR99,C AND J GRAVEL %,5142.52,8539.47,3529.05,0,0,17211.04,Net 30
SALSCO,SALT RIVER MATERIALS %,9566.94,8469.23,0,0,0,18036.17,Net 30
CHAKEL01,CHARLEYS CONCRETE %,18112.05,0,0,0,0,18112.05,Net 15
VITWIC,"VITRO FLAT GLASS, LLC",8845.32,9888.51,0,0,0,18733.83,Net 15
AMEFOR,AMERICAN PLANT FOOD %,20283.84,-1531.53,0,0,0,18752.31,Net 15
CROPAG99,CROSSFIRE %,9043.52,6163.67,4130.57,0,0,19337.76,Net 30
TCGENG99,TCG GLOBAL LLC %**,20903.91,0,0,0,0,20903.91,Net 30
MISSAI,MISSISSIPPI LIME,21766.89,373.72,0,0,0,22140.61,Net 30
WESMID,WESCO %,23177.28,0,0,0,0,23177.28,Net 30
LEHWAC,LEHIGH WHITE CEMENT CO LLC,13811.7,9784.67,300.58,0,0,23896.95,Net 45
CORALB,CORESLAB STRUCTURES %%,19528.07,6006.49,1093.61,0,0,26628.17,Net 30
GNZDEN,GNZ TRANSPORT,27722.54,0,0,0,0,27722.54,Net 30
OSCYAH99,OSCAR RENDA %,29409.87,10052.49,33.56,0,0,39495.92,Net 30
COYALB99,COYOTE GRAVEL PRODUCTS%,14722,11059.61,16366.86,0,0,42148.47,Net 30
TRACOL07,TRANSIT MIX CONCRETE COMPANY,38898.15,904.36,4545.92,0,320.13,44668.56,Net 30
AGGDEN01,AGGREGATE INDUSTRIES,54572.48,2538.17,2180.35,-570.85,-7194.23,51525.92,Net 20
VANOKL99,VAN EATON READY MIX %,41843.53,12078.25,55.25,0,0,53977.03,Net 30
VULBIR,VULCAN MATERIALS COMPANY,60024.04,1600,1800,0,-8859.5,54564.54,Net 30
FOUFAR99,FOUR CORNERS MATERIALS %,39783.88,22111.7,68.81,0,0,61964.39,Net 30
UNIHOU,UNITED SALT CORP  %*,43512.73,15290.51,0,1345.33,2627.52,62776.09,Net 15
CEMNEW,CEMEX,43498.23,19919.06,0,1581,4092.5,69090.79,Net 30
ELAGRA99,ELAM CONSTRUCTION %,64429.53,5428.75,0,0,0,69858.28,Net 30
GCCELP10,GCC PERMIAN %,78925.23,0,0,0,0,78925.23,Net 30
LHOFOR,"LHOIST NORTH AMERICA OF ARIZONA, INC.",68549.02,1012.23,11118.34,0,-589.37,80090.22,Net 30
CHEFOR,"LHOIST NORTH AMERICA OF ARIZONA, INC. %",1266.35,57517.78,22201.44,0,0,80985.57,Net 30
DICCHI,DICAPERL MINERAL TRANSPORT,45568.8,53175,0,0,0,98743.8,Net 30
GCCDUR,GCC ENERGY  %,85693.85,15246.79,0,0,9,100949.64,Net 30
TEXCLE,TEXAS LIME,93833.34,10139.57,0,0,1205.57,105178.48,Net 15
ROAALB99,ROAD RUNNER REDI MIX - HAVENS,77223.17,26524.59,2577.47,0,0,106325.23,Net 30
COALUF99,COASTAL PLAINS %,109876.9,0,481.6,0,0,110358.5,Net 30
UNIGRA99,UNITED COMPANIES %,74654.62,40575.25,3811.06,0,0,119040.93,Net 30
ARGALP,ARGOS CEMENT%*,105078.84,2386.33,0,1351.72,20642.92,129459.81,Net 30
OPTVID,OPTIMUS STEEL %*,87452.85,47912.07,0,0,0,135364.92,Net 15
CHEFOR01,"LHOIST NORTH AMERICA OF ARIZONA, INC. %",301776.51,5328.51,-9319.63,-4621.34,-102112.07,191051.98,Net 30
CMCIRV,"C.M.C. STEEL FABRICATORS, INC.",198959.27,7144.38,52.97,0,0,206156.62,Net 30
GCCTIJ99,"GCC RIO GRANDE, INC.**%",5564.29,96238.96,110833.92,0,0,212637.17,Net 30
GCCTIJ,GCC RIO GRANDE  %,239785.93,0,0,0,-70.01,239715.92,Net 30
GCCTIJ01,"GCC RIO GRANDE, INC.**%",955752.86,18815.62,17466.01,974.69,3144.87,996154.05,Net 30
